Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
50,45,32,Dick,Curtis,male,56,CO,US,00:00:00,03:22:00,03:24:00,05:56:00,06:04:00,09:24:00,09:40:00,12:19:00,12:24:00,13:19:00,13:27:00,15:17:00,15:47:00,19:27:00,19:49:00,22:38:00,23:34:00,30:23:00,30:48:00,34:44:00,35:19:00,37:07:00,37:21:00,40:21:00,40:41:00,44:54:29
51,46,21,Matt,Mahoney,male,46,FL,US,00:00:00,03:45:00,03:47:00,06:20:00,06:22:00,09:42:00,09:52:00,12:18:00,12:27:00,13:20:00,13:22:00,14:55:00,15:07:00,18:54:00,19:35:00,22:27:00,22:46:00,29:18:00,29:32:00,33:33:00,33:46:00,35:49:00,36:13:00,39:33:00,40:00:00,45:00:03
52,47,128,Eric,Hodges,male,52,CA,US,00:00:00,03:12:00,03:12:00,05:23:00,05:27:00,08:26:00,08:42:00,10:52:00,10:56:00,11:46:00,11:47:00,13:17:00,13:58:00,17:19:00,17:33:00,20:11:00,20:48:00,27:30:00,28:05:00,32:09:00,32:21:00,34:27:00,35:12:00,38:19:00,38:51:00,45:17:15
53,48,179,Marc,Witkes,male,35,CO,US,00:00:00,03:13:00,03:15:00,05:35:00,05:39:00,09:31:00,10:14:00,12:24:00,12:28:00,13:30:00,13:36:00,14:51:00,15:07:00,18:34:00,18:51:00,22:01:00,22:13:00,28:08:00,28:22:00,32:22:00,32:24:00,34:23:00,34:58:00,38:16:00,38:25:00,45:21:42
54,6,30,Margaret,Heaphy,female,46,MT,US,00:00:00,03:38:00,03:39:00,06:14:00,06:21:00,09:43:00,10:00:00,12:42:00,12:47:00,13:37:00,13:43:00,15:20:00,16:32:00,20:47:00,21:17:00,24:06:00,25:00:00,30:55:00,31:16:00,35:06:00,35:07:00,37:03:00,37:19:00,40:16:00,40:31:00,45:33:29
55,49,29,Mark,Heaphy,male,39,MT,US,00:00:00,03:38:00,03:39:00,06:14:00,06:20:00,09:43:00,10:00:00,12:43:00,12:48:00,13:37:00,13:43:00,15:20:00,16:32:00,20:47:00,21:17:00,24:06:00,25:00:00,30:55:00,31:16:00,35:06:00,35:07:00,37:03:00,37:19:00,40:16:00,40:31:00,45:33:29
56,7,176,Leslie,Trammell,female,46,TN,US,00:00:00,03:28:00,03:29:00,05:54:00,05:56:00,09:11:00,09:13:00,11:56:00,12:00:00,13:01:00,13:04:00,14:55:00,15:07:00,18:54:00,19:35:00,22:27:00,22:46:00,29:18:00,29:33:00,33:20:00,33:27:00,36:00:00,36:13:00,39:33:00,40:00:00,45:40:40
57,50,178,Max,Welker,male,59,WA,US,00:00:00,03:59:00,04:00:00,07:04:00,07:10:00,11:01:00,11:13:00,14:08:00,14:16:00,15:17:00,15:24:00,17:12:00,17:44:00,21:30:00,21:40:00,24:28:00,24:49:00,31:00:00,31:17:00,35:12:00,35:19:00,37:07:00,37:16:00,40:17:00,40:46:00,45:47:47
58,51,36,Ulrich,Kamm,male,54,CO,US,00:00:00,03:42:00,03:45:00,06:27:00,06:37:00,10:02:00,10:18:00,12:57:00,13:05:00,13:58:00,14:05:00,15:51:00,16:20:00,19:50:00,20:00:00,22:47:00,23:07:00,29:30:00,29:54:00,33:56:00,34:13:00,36:45:00,36:56:00,40:21:00,40:56:00,46:06:58
59,52,112,Kerry,Collings,male,52,UT,US,00:00:00,03:43:00,03:45:00,06:15:00,06:24:00,09:45:00,10:01:00,12:51:00,12:57:00,13:55:00,13:58:00,15:57:00,16:24:00,20:10:00,20:22:00,23:33:00,23:53:00,30:50:00,31:02:00,35:17:00,35:22:00,37:20:00,37:22:00,40:40:00,40:56:00,46:21:27
60,53,149,Duane,Nelson,male,45,OR,US,00:00:00,03:44:00,03:48:00,06:28:00,06:32:00,10:08:00,10:20:00,13:16:00,13:21:00,14:11:00,14:21:00,16:01:00,16:24:00,20:11:00,20:22:00,23:32:00,23:53:00,30:50:00,31:02:00,35:17:00,35:22:00,37:20:00,37:22:00,40:40:00,40:56:00,46:21:27
61,54,135,David,King,male,55,NC,US,00:00:00,03:27:00,03:30:00,05:57:00,06:06:00,09:34:00,09:59:00,12:42:00,12:50:00,13:49:00,13:58:00,15:41:00,16:05:00,19:36:00,19:40:00,22:30:00,23:13:00,29:45:00,30:04:00,34:29:00,35:04:00,37:16:00,37:36:00,41:13:00,41:40:00,46:36:42
62,55,37,Todd,Burgess,male,32,CO,US,00:00:00,03:31:00,03:32:00,06:16:00,06:20:00,09:34:00,09:58:00,12:13:00,12:17:00,13:25:00,13:25:00,15:05:00,15:16:00,18:55:00,19:04:00,22:12:00,22:14:00,29:15:00,29:40:00,33:42:00,33:56:00,36:57:00,37:09:00,40:36:00,40:55:00,46:37:49
63,56,33,Rollin,Perry,male,62,IA,US,00:00:00,04:05:00,04:07:00,07:06:00,07:10:00,11:12:00,11:20:00,14:30:00,14:34:00,15:28:00,15:36:00,17:36:00,17:53:00,22:25:00,22:43:00,25:33:00,25:48:00,32:13:00,32:30:00,36:59:00,37:08:00,39:00:00,39:09:00,42:24:00,42:31:00,46:54:46
64,57,103,James,Ballard,male,51,OR,US,00:00:00,03:53:00,03:54:00,06:40:00,06:49:00,10:32:00,10:42:00,13:45:00,13:51:00,14:53:00,15:00:00,17:03:00,17:32:00,21:45:00,21:55:00,24:56:00,25:08:00,32:13:00,32:30:00,36:59:00,37:07:00,39:00:00,39:09:00,42:24:00,42:31:00,46:55:25
65,58,117,Randall,Dunn,male,46,CO,US,00:00:00,03:28:00,03:30:00,06:14:00,06:18:00,09:48:00,10:05:00,13:00:00,13:07:00,14:01:00,14:09:00,15:52:00,16:22:00,21:03:00,21:15:00,23:57:00,24:38:00,31:42:00,32:08:00,36:44:00,36:52:00,38:44:00,38:51:00,42:56:00,43:01:00,48:01:11
66,59,28,Hans,Dieter-Weisshaar,male,61,,,00:00:00,03:57:00,03:58:00,06:45:00,06:49:00,10:40:00,11:00:00,14:04:00,14:11:00,15:05:00,15:09:00,16:56:00,17:43:00,22:18:00,22:24:00,25:22:00,25:52:00,32:45:00,33:13:00,37:33:00,37:41:00,40:05:00,40:10:00,44:06:00,"",""
67,60,173,Jim,Sweatt,male,46,AR,US,00:00:00,03:56:00,03:57:00,06:51:00,06:51:00,10:44:00,11:00:00,14:04:00,14:09:00,15:03:00,15:05:00,16:56:00,17:14:00,21:18:00,21:25:00,24:24:00,24:36:00,31:40:00,32:04:00,36:57:00,37:08:00,39:15:00,39:42:00,44:27:00,"",""
68,61,156,Robb,Reece,male,37,CO,US,00:00:00,02:56:00,02:56:00,04:51:00,04:51:00,07:20:00,07:24:00,09:18:00,09:19:00,09:56:00,09:58:00,11:19:00,11:21:00,13:57:00,13:59:00,16:08:00,16:08:00,21:47:00,22:02:00,26:15:00,26:19:00,28:22:00,"","","",""
69,62,106,Stan,Beutler,male,44,UT,US,00:00:00,03:28:00,03:29:00,06:22:00,06:27:00,10:02:00,10:12:00,12:35:00,12:42:00,13:47:00,13:53:00,15:47:00,16:11:00,19:35:00,19:46:00,22:40:00,23:11:00,29:37:00,30:06:00,34:11:00,35:33:00,37:28:00,"","","",""
70,63,136,Keith,Knipling,male,25,VA,US,00:00:00,03:17:00,03:18:00,05:50:00,05:51:00,09:18:00,09:29:00,12:19:00,12:27:00,13:24:00,13:28:00,15:30:00,16:28:00,20:43:00,21:12:00,24:31:00,25:42:00,32:44:00,33:01:00,37:24:00,37:37:00,40:57:00,"","","",""
71,64,150,Christopher,Nute,male,33,CO,US,00:00:00,03:15:00,03:16:00,05:36:00,05:41:00,08:41:00,08:50:00,11:00:00,11:05:00,11:52:00,11:54:00,13:22:00,13:44:00,16:33:00,16:40:00,19:00:00,19:20:00,25:02:00,25:27:00,29:56:00,"","","","","",""
72,65,169,Stuart,Sorensen,male,57,CA,US,00:00:00,04:14:00,04:16:00,07:24:00,07:28:00,11:29:00,11:33:00,14:33:00,14:36:00,15:39:00,15:42:00,17:35:00,17:42:00,22:10:00,22:13:00,25:02:00,25:09:00,32:06:00,32:12:00,36:56:00,"","","","","",""
